Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
J06 Acute upper respiratory infections of multiple and unspecified sites,131436,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,29418,252167,0.00601314290610011,0.0431796574361876,,,icd_first_occurrence-131436-both_sexes--
I84 Haemorrhoids,131404,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,17624,263961,0.00601475929154127,0.0628259497242144,,,icd_first_occurrence-131404-both_sexes--
T86.2 Sampling of axillary lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1664,151684,0.00618627038970909,0.15878536693462,,,categorical-41210-both_sexes-T862-
Mean ICVF in inferior cerebellar peduncle on FA skeleton (right),25354,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00630860073685873,,,,continuous-25354-both_sexes--irnt
H20 Iridocyclitis,131158,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,1493,280092,0.00664466945191911,0.152613967470955,,,icd_first_occurrence-131158-both_sexes--
Y53.2 Approach to organ under ultrasonic control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,10533,271053,0.00690042693059134,0.074421549307498,,,categorical-41210-both_sexes-Y532-
A52.2 Therapeutic sacral epidural injection,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1544,280042,0.00720032715083485,0.150377429545151,,,categorical-41200-both_sexes-A522-
N40 Hyperplasia of prostate,132072,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,14657,113581,0.00734973168815178,0.0639830389729808,,,icd_first_occurrence-132072-both_sexes--
N45 Orchitis and epididymitis,132082,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1528,126710,0.00781544691854519,0.144170009892712,,,icd_first_occurrence-132082-both_sexes--
Coronary angioplasty (ptca) +/- stent,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2829,278714,0.00805306537053163,0.106350088389418,,,categorical-20004-both_sexes-1070-
"J11 Influenza, virus not identified",131442,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,6143,275442,0.00810902780008582,0.0964722569352196,,,icd_first_occurrence-131442-both_sexes--
I77 Other disorders of arteries and arterioles,131390,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,1325,280260,0.00815960970145335,0.151267486688532,,,icd_first_occurrence-131390-both_sexes--
M48 Other spondylopathies,131918,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,6798,274787,0.00816020961819608,0.0822990508459758,,,icd_first_occurrence-131918-both_sexes--
Mean L1 in cingulum hippocampus on FA skeleton (right),25236,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00831543881019519,,,,continuous-25236-both_sexes--irnt
A04 Other bacterial intestinal infections,130008,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,4072,277513,0.0102326419160524,0.0982919319616214,,,icd_first_occurrence-130008-both_sexes--
M45.1 Diagnostic endoscopic examination of bladder and biopsy of lesion of bladder NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1475,280111,0.0104286778446636,0.141623198405115,,,categorical-41200-both_sexes-M451-
H02 Other disorders of eyelid,131132,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,6422,275163,0.0124352969734196,0.0899889908876864,,,icd_first_occurrence-131132-both_sexes--
Multivitamin+mineral preparations,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3778,277765,0.0126190666730672,0.112217436598842,,,categorical-20003-both_sexes-1140876592-
D51 Vitamin b12 deficiency anaemia,130624,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,1806,279779,0.012825987538492,0.134875586116218,,,icd_first_occurrence-130624-both_sexes--
Volume of grey matter in VI Cerebellum (vermis),25898,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0133370555455825,,,,continuous-25898-both_sexes--irnt
Z81.2 Acromioclavicular joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1921,279665,0.0134422680376701,0.129417773828368,,,categorical-41210-both_sexes-Z812-
Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243015,,0.0140012942369607,-0.00941368458569414,,,continuous-30850-both_sexes--irnt
H25.1 Diagnostic endoscopic examination of lower bowel and biopsy of lesion of lower bowel using fibreoptic sigmoidoscope,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,6366,275220,0.0165919635466689,0.0860324487664913,,,categorical-41200-both_sexes-H251-
Clopidogrel,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1726,279817,0.0166818927093471,0.128201155914401,,,categorical-20003-both_sexes-1141168318-
N42 Other disorders of prostate,132076,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1663,126575,0.0170035776545421,0.125139641885601,,,icd_first_occurrence-132076-both_sexes--
Bilateral oophorectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,12030,141298,0.0173068234972182,0.0747418184597691,,,categorical-20004-both_sexes-1355-
Gout,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3709,124506,0.0173471826472961,0.0869351930231681,,,categorical-20002-both_sexes-1466-
L30 Other dermatitis,131740,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,27241,254344,0.0175081384880215,0.0381995761248883,,,icd_first_occurrence-131740-both_sexes--
Duration of eprime test,12651,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,17728,,0.0179556303207763,,,,continuous-12651-both_sexes--irnt
Mean ISOVF in sagittal stratum on FA skeleton (right),25470,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0180320824254129,,,,continuous-25470-both_sexes--irnt
Volume of pallidum (right),25018,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,16038,,0.0181564183593676,,,,continuous-25018-both_sexes--irnt
Cholecystectomy/gall bladder removal,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,11057,270486,0.0186581693034842,0.0724172181522939,,,categorical-20004-both_sexes-1455-
O29.1 Subacromial decompression,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2357,279229,0.0192528152356862,0.118748842503429,,,categorical-41200-both_sexes-O291-
Ear surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4376,277167,0.0194670133203222,0.0514520701148441,,,categorical-20004-both_sexes-1127-
Mean MO in posterior corona radiata on FA skeleton (right),25178,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0196016523236748,,,,continuous-25178-both_sexes--irnt
Weighted-mean MO in tract medial lemniscus (right),25560,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0196567421121488,,,,continuous-25560-both_sexes--irnt
Mean ICVF in inferior cerebellar peduncle on FA skeleton (left),25355,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0199651472998356,,,,continuous-25355-both_sexes--irnt
Cholelithiasis/gall stones,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,4682,276861,0.020304402861732,0.103314693026799,,,categorical-20002-both_sexes-1162-
Mean ISOVF in inferior cerebellar peduncle on FA skeleton (right),25450,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0203805433874133,,,,continuous-25450-both_sexes--irnt
K42 Umbilical hernia,131616,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4051,277534,0.0204292874283428,0.103900563580264,,,icd_first_occurrence-131616-both_sexes--
Z94.1 Bilateral operation,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,16541,265045,0.0208159083763062,0.0482952455250859,,,categorical-41210-both_sexes-Z941-
Spine arthritis/spondylitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2439,279104,0.0213286291995716,0.119304563284454,,,categorical-20002-both_sexes-1311-
Mean MO in anterior limb of internal capsule on FA skeleton (left),25169,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.021576910508111,,,,continuous-25169-both_sexes--irnt
S47.2 Drainage of lesion of skin NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1779,279807,0.0218912051725526,0.141961040475549,,,categorical-41200-both_sexes-S472-
P duration,12338,continuous,,"UK Biobank Assessment Centre > Physical measures > ECG at rest, 12-lead",,17339,,0.0222462353911307,,,,continuous-12338-both_sexes--irnt
Volume of grey matter in X Cerebellum (vermis),25919,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.022391892697289,,,,continuous-25919-both_sexes--irnt
Bilateral oophorectomy (both ovaries removed),2834,categorical,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,12390,138785,0.0224731615235787,0.0709892746685364,,,categorical-2834-both_sexes--
Z29.1 Rectum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8132,273454,0.0228352700567109,0.0658823128722115,,,categorical-41210-both_sexes-Z291-
Ibuprofen,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,35252,246291,0.0238025818925317,0.0423777809288597,,,categorical-20003-both_sexes-1140871310-
Appendicitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2745,278798,0.0245600010444479,0.109585646410245,,,categorical-20002-both_sexes-1502-
"Volume of grey matter in Lateral Occipital Cortex, inferior division (right)",25827,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0248225427974979,,,,continuous-25827-both_sexes--irnt
M19 Other arthrosis,131876,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,41993,239592,0.0251110729944116,0.0305186366588373,,,icd_first_occurrence-131876-both_sexes--
Q18.8 Other specified diagnostic endoscopic examination of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2918,150430,0.0256058213775605,0.111118269681035,,,categorical-41200-both_sexes-Q188-
N93 Other abnormal uterine and vaginal bleeding,132148,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,6287,147060,0.0260554776357803,0.0810458562845865,,,icd_first_occurrence-132148-both_sexes--
J34 Other disorders of nose and nasal sinuses,131472,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,9791,271794,0.0263661413783995,0.0589299786012711,,,icd_first_occurrence-131472-both_sexes--
M75 Shoulder lesions,131954,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,18392,263193,0.0269428745451799,0.0447892238107218,,,icd_first_occurrence-131954-both_sexes--
Volume of grey matter in Occipital Pole (left),25876,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.027350089524134,,,,continuous-25876-both_sexes--irnt
Z27.1 Oesophagus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5058,276528,0.0273825014722745,0.0805480124176039,,,categorical-41210-both_sexes-Z271-
H52.4 Rubber band ligation of haemorrhoid,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2705,278881,0.0274770817604018,0.108126611878747,,,categorical-41200-both_sexes-H524-
Potassium in urine,30520,continuous,,Biological samples > Assay results > Urine assays,,273001,,0.0291349510299567,-0.0124237065971225,,,continuous-30520-both_sexes--irnt
Arthroscopy nos,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,6225,275318,0.0291368308635496,0.0722481762101411,,,categorical-20004-both_sexes-1493-
Weighted-mean L2 in tract corticospinal tract (left),25604,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0318408785975541,,,,continuous-25604-both_sexes--irnt
Folate,100014,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0327325929818912,0.0333275308591811,,,continuous-100014-both_sexes--irnt
B28.3 Excision of lesion of breast NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2375,150973,0.0330444461214758,0.1284347105919,,,categorical-41200-both_sexes-B283-
K26 Duodenal ulcer,131592,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4880,276705,0.0350249363672885,0.0767076156886874,,,icd_first_occurrence-131592-both_sexes--
K63.3 Angiocardiography of left side of heart NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5383,276203,0.0351609317433514,0.0771801026667192,,,categorical-41200-both_sexes-K633-
H20.6 Fibreoptic endoscopic resection of lesion of colon NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2653,278933,0.035172841409767,0.105036800103395,,,categorical-41200-both_sexes-H206-
Weighted-mean FA in tract parahippocampal part of cingulum (right),25495,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0351822733571488,,,,continuous-25495-both_sexes--irnt
Psoriasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3135,278408,0.0370530437110964,0.0975101894126653,,,categorical-20002-both_sexes-1453-
L29 Pruritus,131738,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,6908,274677,0.039414405144109,0.0727733527108307,,,icd_first_occurrence-131738-both_sexes--
Lansoprazole,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,9998,271545,0.0399366935123801,0.0575335528080489,,,categorical-20003-both_sexes-1140864752-
I35 Nonrheumatic aortic valve disorders,131324,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2598,278987,0.0400362333871709,0.105736412574594,,,icd_first_occurrence-131324-both_sexes--
Touchscreen duration,630,continuous,,UK Biobank Assessment Centre > Procedural metrics > Process durations,,281430,,0.043416172069341,-0.0112056978327344,,,continuous-630-both_sexes--irnt
M47 Spondylosis,131916,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,16228,265357,0.0436456642306823,0.0534597541247724,,,icd_first_occurrence-131916-both_sexes--
Mean OD in corticospinal tract on FA skeleton (left),25399,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0440158635866869,,,,continuous-25399-both_sexes--irnt
Weighted-mean MD in tract corticospinal tract (left),25523,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0442941272185922,,,,continuous-25523-both_sexes--irnt
Mean ISOVF in inferior cerebellar peduncle on FA skeleton (left),25451,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0454680684107958,,,,continuous-25451-both_sexes--irnt
I34 Nonrheumatic mitral valve disorders,131322,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,2445,279140,0.0458004531576113,0.117517041387503,,,icd_first_occurrence-131322-both_sexes--
Immature reticulocyte fraction,30280,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268453,,0.0461927040550131,0.0113344132094594,,,continuous-30280-both_sexes--irnt
Median T2star in amygdala (left),25036,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.046894224999554,,,,continuous-25036-both_sexes--irnt
Inguinal/femoral hernia repair,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,8953,272590,0.0472330138807525,0.0564393782827822,,,categorical-20004-both_sexes-1403-
Median T2star in accumbens (left),25038,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0478015276302036,,,,continuous-25038-both_sexes--irnt
Bipolar and major depression status,20126,categorical,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,9369,64773,0.0481745840890463,0.0570313581520697,,,categorical-20126-both_sexes-4-
Gamma glutamyltransferase,30730,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,268411,,0.0482171048372133,0.0110924332563734,,,continuous-30730-both_sexes--irnt
Doxazosin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3105,278438,0.0487627827931557,0.0971632891819731,,,categorical-20003-both_sexes-1140879778-
Eczema/dermatitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,7148,274395,0.0491207333906668,0.0653847433971028,,,categorical-20002-both_sexes-1452-
Spine or back surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,3291,278252,0.049387629168667,0.0926693767152206,,,categorical-20004-both_sexes-1320-
Salbutamol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3329,278214,0.050531808525724,0.092548027256312,,,categorical-20003-both_sexes-1140881856-
K37 Unspecified appendicitis,131608,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3808,277777,0.0509435279261935,0.0886519767553621,,,icd_first_occurrence-131608-both_sexes--
"O99 Other maternal diseases classifiable elsewhere but complicating pregnancy, childbirth and the puerperium",132312,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1388,151959,0.0543539198808494,0.180520296166104,,,icd_first_occurrence-132312-both_sexes--
Substances taken for depression,20546,categorical,,Online follow-up > Mental health > Depression,,22401,70731,0.0544713374226183,0.042388338954799,,,categorical-20546-both_sexes-3-
Position of pulse wave notch,4199,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.0548671552893858,0.0207407644669681,,,continuous-4199-both_sexes--irnt
"Medication for cholesterol, blood pressure, diabetes, or take exogenous hormones",6153,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,11352,141259,0.0550192727458158,0.0511639268251626,,,categorical-6153-both_sexes-4-
K43 Ventral hernia,131618,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3467,278118,0.0572949025125518,0.0903525924066704,,,icd_first_occurrence-131618-both_sexes--
N87 Dysplasia of cervix uteri,132136,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,4385,148962,0.0590938147686525,0.0921571307569673,,,icd_first_occurrence-132136-both_sexes--
Q55.3 Papanicolau smear NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1096,152252,0.0594161926318582,0.160308295345143,,,categorical-41210-both_sexes-Q553-
Pulse rate,4194,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.0603150923393078,0.0206804497468505,,,continuous-4194-both_sexes--irnt
Weighted-mean ISOVF in tract corticospinal tract (left),25712,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0607836147236712,,,,continuous-25712-both_sexes--irnt
Volume of grey matter in Precentral Gyrus (right),25795,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.061540146667144,,,,continuous-25795-both_sexes--irnt
S57.1 Debridement of skin NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1283,280303,0.0625147869757784,0.0942369056799511,,,categorical-41210-both_sexes-S571-
Weighted-mean L3 in tract corticospinal tract (left),25631,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0628819364854741,,,,continuous-25631-both_sexes--irnt
Mean MO in medial lemniscus on FA skeleton (left),25161,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0637258232672955,,,,continuous-25161-both_sexes--irnt
Mean L1 in anterior limb of internal capsule on FA skeleton (left),25217,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0637849303426125,,,,continuous-25217-both_sexes--irnt
M47.3 Removal of urethral catheter from bladder,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1162,280424,0.0666014430053626,0.0918458044908671,,,categorical-41210-both_sexes-M473-
K04 Diseases of pulp and periapical tissues,131560,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,4291,277294,0.0673830160902353,0.0838766373503846,,,icd_first_occurrence-131560-both_sexes--
K40 Inguinal hernia,131612,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,14272,113966,0.0679363585765763,0.0488149612564655,,,icd_first_occurrence-131612-both_sexes--
Volume of grey matter in Frontal Orbital Cortex (right),25847,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0682109934450092,,,,continuous-25847-both_sexes--irnt
Median T2star in thalamus (right),25027,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0690775059970871,,,,continuous-25027-both_sexes--irnt
Mean MO in middle cerebellar peduncle on FA skeleton,25152,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.069516552429313,,,,continuous-25152-both_sexes--irnt
Y82.1 Local anaesthetic nerve block,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1387,280199,0.0704155678745357,0.153260642495327,,,categorical-41210-both_sexes-Y821-
Essential hypertension,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1224,280319,0.0709274959155335,0.158449104130381,,,categorical-20002-both_sexes-1072-
Weighted-mean L1 in tract corticospinal tract (right),25578,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0727585051635908,,,,continuous-25578-both_sexes--irnt
Beclomethasone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1137,280406,0.0732793907404977,0.14814664684913,,,categorical-20003-both_sexes-1140884654-
Z28.2 Caecum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,16548,265038,0.0759371577102799,0.0455541961813979,,,categorical-41210-both_sexes-Z282-
Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),25460,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0760071734501087,,,,continuous-25460-both_sexes--irnt
L43 Lichen planus,131748,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,1297,280288,0.0762282285718272,0.147703914122266,,,icd_first_occurrence-131748-both_sexes--
Mean OD in posterior corona radiata on FA skeleton (right),25418,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0764526579834744,,,,continuous-25418-both_sexes--irnt
Sertraline,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1209,280334,0.0764824594414767,0.145967854867355,,,categorical-20003-both_sexes-1140867878-
