Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Mean MO in sagittal stratum on FA skeleton (right),25182,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0101012447505172,-0.0450327718593194,,,continuous-25182-both_sexes--irnt
Ranitidine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4554,276989,0.0108348530881524,0.0761935109773197,,,categorical-20003-both_sexes-1140879406-
Mean ISOVF in pontine crossing tract on FA skeleton,25441,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.011168149335552,0.0357140267514097,,,continuous-25441-both_sexes--irnt
Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3840,277703,0.0117610651860942,0.0712009616152234,,,categorical-20002-both_sexes-1113-
Longest period of unenthusiasm / disinterest,5375,continuous,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,27772,,0.013220940297582,0.00176044725684746,,,continuous-5375-both_sexes--irnt
Mean L3 in superior cerebellar peduncle on FA skeleton (right),25308,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0137160504314203,-0.0120762878627699,,,continuous-25308-both_sexes--irnt
K58 Irritable bowel syndrome,131638,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,18586,262999,0.0137328231894451,0.0401762595793554,,,icd_first_occurrence-131638-both_sexes--
Mean MD in superior cerebellar peduncle on FA skeleton (left),25117,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0138499854946035,-0.0333436429046011,,,continuous-25117-both_sexes--irnt
Mean L3 in corticospinal tract on FA skeleton (right),25302,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0140210952424211,0.0306437383686546,,,continuous-25302-both_sexes--irnt
Alcohol drinker status,20117,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Alcohol,,9028,272130,0.0149568946106771,0.0565448414873854,,,categorical-20117-both_sexes-0-
Knee replacement/revision,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,3454,278089,0.01524331728434,0.0687609782240947,,,categorical-20004-both_sexes-1319-
Allopurinol,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2924,125291,0.0155940551834028,0.0704399003562782,,,categorical-20003-both_sexes-1140875408-
Volume of hippocampus (right),25020,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,16038,,0.0162031976762066,0.00753797241692779,,,continuous-25020-both_sexes--irnt
Mean OD in sagittal stratum on FA skeleton (right),25422,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0162390357476159,0.0423882260643348,,,continuous-25422-both_sexes--irnt
K64 Haemorrhoids and perianal venous thrombosis,131650,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,19426,262159,0.0169097862718041,0.0246731669737837,,,icd_first_occurrence-131650-both_sexes--
Mean MD in corticospinal tract on FA skeleton (right),25110,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0179605745433209,0.0285797249852798,,,continuous-25110-both_sexes--irnt
Weighted-mean L3 in tract parahippocampal part of cingulum (right),25630,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0182916262385429,-0.0173655830984832,,,continuous-25630-both_sexes--irnt
Median T2star in caudate (right),25029,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0183343750710094,-0.0418902982470356,,,continuous-25029-both_sexes--irnt
K63.4 Coronary arteriography using two catheters,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4843,276743,0.0184030359163753,0.0339957583370615,,,categorical-41200-both_sexes-K634-
Mean MO in sagittal stratum on FA skeleton (left),25183,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0195283025616086,-0.0412094165189998,,,continuous-25183-both_sexes--irnt
Weighted-mean MD in tract parahippocampal part of cingulum (right),25522,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0201765499249754,-0.0184432461185821,,,continuous-25522-both_sexes--irnt
Mean L1 in sagittal stratum on FA skeleton (left),25231,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0207368619852342,-0.0400863432622129,,,continuous-25231-both_sexes--irnt
L50 Urticaria,131754,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,6252,275333,0.0208299106733651,0.0138523194879989,,,icd_first_occurrence-131754-both_sexes--
Mean ISOVF in corticospinal tract on FA skeleton (right),25446,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0208739404243766,0.0256429742749372,,,continuous-25446-both_sexes--irnt
Mean L3 in superior cerebellar peduncle on FA skeleton (left),25309,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.021044949912689,-0.023207656657994,,,continuous-25309-both_sexes--irnt
Mean ICVF in corticospinal tract on FA skeleton (right),25350,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0213877418842233,0.00116017388164156,,,continuous-25350-both_sexes--irnt
Mean L1 in pontine crossing tract on FA skeleton,25201,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0217407116492411,0.0282958486614396,,,continuous-25201-both_sexes--irnt
Mean MD in inferior cerebellar peduncle on FA skeleton (left),25115,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0217725029730297,-0.010278367190766,,,continuous-25115-both_sexes--irnt
Tonsiltis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2262,279281,0.0223374463263093,0.044208197380121,,,categorical-20002-both_sexes-1598-
Y84.2 Sedation NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2406,279180,0.0229046341429598,0.0936494314795918,,,categorical-41210-both_sexes-Y842-
Mean L3 in corticospinal tract on FA skeleton (left),25303,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0231246149674877,0.027188836286238,,,continuous-25303-both_sexes--irnt
I47 Paroxysmal tachycardia,131348,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,3399,278186,0.0239268243966542,0.0802664523297526,,,icd_first_occurrence-131348-both_sexes--
Mean OD in sagittal stratum on FA skeleton (left),25423,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0244943988559128,0.0399612818579163,,,continuous-25423-both_sexes--irnt
Volume of grey matter in Angular Gyrus (left),25822,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0245229694108048,0.0339111865114292,,,continuous-25822-both_sexes--irnt
Fracture lower leg / ankle,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1283,280260,0.025596243644209,0.0893064608153078,,,categorical-20002-both_sexes-1651-
Retinal operation/vitrectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1697,279846,0.0267780715211059,0.0690988114948256,,,categorical-20004-both_sexes-1437-
"Medication for pain relief, constipation, heartburn",6154,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medication,,5298,273213,0.0271525475870266,0.0644664502006807,,,categorical-6154-both_sexes-4-
Mean L2 in medial lemniscus on FA skeleton (left),25257,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0271708004739104,0.00501464983938569,,,continuous-25257-both_sexes--irnt
E08.1 Polypectomy of internal nose,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1450,280136,0.0282104457083945,0.0891599859481606,,,categorical-41200-both_sexes-E081-
Volume of accumbens (right),25024,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,16038,,0.0287913190691975,-0.0112821596208645,,,continuous-25024-both_sexes--irnt
Mean ICVF in pontine crossing tract on FA skeleton,25345,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0288923613319459,0.0228227299733499,,,continuous-25345-both_sexes--irnt
Mean L2 in superior cerebellar peduncle on FA skeleton (right),25260,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0297504803452063,-0.0105110215094145,,,continuous-25260-both_sexes--irnt
Arthritis (nos),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2481,279062,0.0300146219811508,0.0761042044936265,,,categorical-20002-both_sexes-1538-
Mean MO in uncinate fasciculus on FA skeleton (right),25196,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0304870933308874,0.0389897743742191,,,continuous-25196-both_sexes--irnt
Mean L1 in medial lemniscus on FA skeleton (right),25208,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0309136992750558,0.0387347848440838,,,continuous-25208-both_sexes--irnt
Weighted-mean L2 in tract parahippocampal part of cingulum (left),25602,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0334377718367118,-0.0273003452073484,,,continuous-25602-both_sexes--irnt
Mean MD in superior cerebellar peduncle on FA skeleton (right),25116,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0336974464866857,-0.0142143963938925,,,continuous-25116-both_sexes--irnt
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,4693,276306,0.0339017988397475,0.0560300246850453,,,categorical-6152-both_sexes-6-
Mean L2 in superior cerebellar peduncle on FA skeleton (left),25261,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0355838637333676,-0.0222110557034567,,,continuous-25261-both_sexes--irnt
M65 Synovitis and tenosynovitis,131938,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,10183,271402,0.0360609215697284,0.0489676669407596,,,icd_first_occurrence-131938-both_sexes--
Mean L1 in sagittal stratum on FA skeleton (right),25230,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0362636247809048,-0.036503219090591,,,continuous-25230-both_sexes--irnt
Weighted-mean L3 in tract parahippocampal part of cingulum (left),25629,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0363974967648404,-0.0285031574692666,,,continuous-25629-both_sexes--irnt
Volume of grey matter in Frontal Medial Cortex (right),25831,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0382095245543479,0.00676075429977545,,,continuous-25831-both_sexes--irnt
Mean FA in corticospinal tract on FA skeleton (left),25063,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0386378909370103,-0.0123619322159561,,,continuous-25063-both_sexes--irnt
Mean L2 in medial lemniscus on FA skeleton (right),25256,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0387557686703137,0.00672754036860005,,,continuous-25256-both_sexes--irnt
Mean ICVF in body of corpus callosum on FA skeleton,25347,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0390298025453431,-0.0107689222932054,,,continuous-25347-both_sexes--irnt
Lansoprazole,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,9998,271545,0.0391634976255144,0.0285602418880108,,,categorical-20003-both_sexes-1140864752-
Cone biopsy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2394,150934,0.0413760320614645,0.0756738547946006,,,categorical-20004-both_sexes-1512-
Pravastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1330,280213,0.0414258952067964,0.103859244305855,,,categorical-20003-both_sexes-1140888648-
Starch,100023,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0418421279306949,0.0148071169138399,,,continuous-100023-both_sexes--irnt
Mean L3 in cerebral peduncle on FA skeleton (left),25311,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0421997226305753,0.0321904714324254,,,continuous-25311-both_sexes--irnt
J93 Pneumothorax,131540,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,1556,280029,0.0422721399208916,0.0859966580399534,,,icd_first_occurrence-131540-both_sexes--
"Volume of grey matter in Temporal Fusiform Cortex, posterior division (right)",25857,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0424647713626223,0.014558368525178,,,continuous-25857-both_sexes--irnt
E86 Volume depletion,130826,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,2734,278851,0.0426466547048231,0.0351806459262073,,,icd_first_occurrence-130826-both_sexes--
Weighted-mean ICVF in tract corticospinal tract (right),25659,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0429859854447371,-0.00614901302597789,,,continuous-25659-both_sexes--irnt
Hypertension,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,72697,208846,0.0435704740874977,0.00487110480588849,,,categorical-20002-both_sexes-1065-
Mean L3 in sagittal stratum on FA skeleton (right),25326,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0435880772833624,-0.0142857696322911,,,continuous-25326-both_sexes--irnt
Ever used hormone-replacement therapy (HRT),2814,categorical,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,59542,93303,0.0436108728107878,0.0282023569630814,,,categorical-2814-both_sexes--
Mean OD in superior cerebellar peduncle on FA skeleton (left),25405,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0452181755387897,0.007137656832703,,,continuous-25405-both_sexes--irnt
Mean MO in medial lemniscus on FA skeleton (right),25160,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0463998011777677,0.0359868573902665,,,continuous-25160-both_sexes--irnt
C90.1 Topical anaesthetic,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1470,280116,0.0466272542885429,0.100167250425555,,,categorical-41210-both_sexes-C901-
Fluoxetine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3282,278261,0.0472107724919484,0.0262361994393825,,,categorical-20003-both_sexes-1140879540-
Vitamin B12,100013,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0473534654557868,0.0195631138421113,,,continuous-100013-both_sexes--irnt
Mean ISOVF in corticospinal tract on FA skeleton (left),25447,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0475520352208045,0.0337887370142956,,,continuous-25447-both_sexes--irnt
Mean L3 in medial lemniscus on FA skeleton (right),25304,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0478081371025861,0.0263755963984056,,,continuous-25304-both_sexes--irnt
Potassium in urine,30520,continuous,,Biological samples > Assay results > Urine assays,,273001,,0.0479892451873349,-0.00475150368559576,,,continuous-30520-both_sexes--irnt
Vitamin c product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3518,278025,0.0487636493488804,0.0211754605183705,,,categorical-20003-both_sexes-1140909726-
Mean L3 in tapetum on FA skeleton (left),25343,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0492366490700622,-0.0344573538117756,,,continuous-25343-both_sexes--irnt
Tinnitus,4803,continuous,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Hearing,,100775,,0.0497164831701027,0.0101376323505192,,,continuous-4803-both_sexes--
M47.8 Other specified urethral catheterisation of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1460,280126,0.0511096554954631,0.0913732192687117,,,categorical-41200-both_sexes-M478-
Mean L1 in corticospinal tract on FA skeleton (left),25207,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.051437683892031,0.0350944109927964,,,continuous-25207-both_sexes--irnt
Monocyte percentage,30190,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.0521978271941583,-0.00116917526597743,,,continuous-30190-both_sexes--irnt
Mean L2 in corticospinal tract on FA skeleton (right),25254,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0526817812936727,0.0200422636152101,,,continuous-25254-both_sexes--irnt
Peripheral pulse pressure during PWA,12676,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,17181,,0.0528723987022277,-0.00739814466915083,,,continuous-12676-both_sexes--irnt
Mean OD in splenium of corpus callosum on FA skeleton,25396,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0530987822412459,0.0333924513802916,,,continuous-25396-both_sexes--irnt
Gout,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3709,124506,0.053855366254691,0.0231422103606425,,,categorical-20002-both_sexes-1466-
Mean MD in corticospinal tract on FA skeleton (left),25111,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0542235297152969,0.0308455159230522,,,continuous-25111-both_sexes--irnt
Mean L2 in corticospinal tract on FA skeleton (left),25255,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0549511681791802,0.0208443175759618,,,continuous-25255-both_sexes--irnt
Central pulse pressure during PWA,12678,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,17181,,0.0555216990438825,-0.0082908510190633,,,continuous-12678-both_sexes--irnt
Weighted-mean MD in tract parahippocampal part of cingulum (left),25521,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0555893514686531,-0.0247246742541685,,,continuous-25521-both_sexes--irnt
W38.1 Primary total prosthetic replacement of hip joint not using cement,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2756,278830,0.0562336628853864,0.0724781909675415,,,categorical-41200-both_sexes-W381-
Lipitor 10mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1953,279590,0.0565021568878405,0.0683464898872949,,,categorical-20003-both_sexes-1141146138-
Prednisolone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1642,279901,0.0575877448690716,0.0833216899645824,,,categorical-20003-both_sexes-1140874930-
Vascular/heart problems diagnosed by doctor,6150,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,75412,205512,0.0585894451879764,0.00473788954836604,,,categorical-6150-both_sexes-4-
Mean MD in cerebral peduncle on FA skeleton (left),25119,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0590422278534812,0.0328669747122104,,,continuous-25119-both_sexes--irnt
Leg fat percentage (left),23115,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276677,,0.0598377236015992,-0.00513142167914927,,,continuous-23115-both_sexes--irnt
Mean MO in cingulum cingulate gyrus on FA skeleton (left),25187,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0618247635720133,-0.033760944911779,,,continuous-25187-both_sexes--irnt
D75 Other diseases of blood and blood-forming organs,130670,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,1106,280479,0.0619026506137954,0.0528023966746386,,,icd_first_occurrence-130670-both_sexes--
Median T2star in pallidum (left),25032,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0622966253057917,-0.0342973407161209,,,continuous-25032-both_sexes--irnt
Weighted-mean ICVF in tract corticospinal tract (left),25658,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0636297900787715,0.00306110805487885,,,continuous-25658-both_sexes--irnt
