Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
F33 Recurrent depressive disorder,130896,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,2096,279489,0.00526928275381477,0.124724547601576,,,icd_first_occurrence-130896-both_sexes--
Weighted-mean L1 in tract middle cerebellar peduncle,25585,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00550390427547109,0.0625828204950197,,,continuous-25585-both_sexes--irnt
Weighted-mean ISOVF in tract middle cerebellar peduncle,25720,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.00589295337505436,0.0641316773691015,,,continuous-25720-both_sexes--irnt
Pulse wave Arterial Stiffness index,21021,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101388,,0.00604604315834667,0.0208755784266671,,,continuous-21021-both_sexes--irnt
Monocyte percentage,30190,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.00615936023816666,0.00210273637934091,,,continuous-30190-both_sexes--irnt
Mean OD in inferior cerebellar peduncle on FA skeleton (left),25403,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.00640903216545585,0.076292330415255,,,continuous-25403-both_sexes--irnt
Pulse wave peak to peak time,4196,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101642,,0.00665177868244449,-0.0209500380936221,,,continuous-4196-both_sexes--irnt
F09.1 Surgical removal of impacted wisdom tooth,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1174,280412,0.00678927549134034,0.139831710103769,,,categorical-41200-both_sexes-F091-
Symbicort 100/6 turbohaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1763,279780,0.00682527109924602,0.114257815026754,,,categorical-20003-both_sexes-1141174520-
Mean L1 in uncinate fasciculus on FA skeleton (left),25245,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00725226010190838,0.0323608061766458,,,continuous-25245-both_sexes--irnt
O02 Other abnormal products of conception,132166,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1216,152131,0.00730838914895771,0.177163220299656,,,icd_first_occurrence-132166-both_sexes--
Weighted-mean L3 in tract middle cerebellar peduncle,25639,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00771535260895384,0.0620933462578486,,,continuous-25639-both_sexes--irnt
O29.1 Subacromial decompression,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2357,279229,0.00784674200478785,0.11504948513991,,,categorical-41200-both_sexes-O291-
Mean FA in medial lemniscus on FA skeleton (left),25065,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00787619040262078,-0.0770959109397559,,,continuous-25065-both_sexes--irnt
Thyroxine product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3290,278253,0.00802804348996933,0.107395813570453,,,categorical-20003-both_sexes-1140884516-
Monocyte count,30130,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.00846491756003143,0.00285067758856806,,,continuous-30130-both_sexes--irnt
Forced expiratory volume in 1-second (FEV1),3063,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,255820,,0.00940722550640483,-0.00806093366329336,,,continuous-3063-both_sexes--irnt
Quinine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1816,279727,0.00975343375326931,0.111207513416054,,,categorical-20003-both_sexes-1140874420-
"Trouble falling or staying asleep, or sleeping too much",20517,continuous,,Online follow-up > Mental health > Depression,,93151,,0.00993693186215039,0.0107474625849276,,,continuous-20517-both_sexes--
Mean MO in medial lemniscus on FA skeleton (right),25160,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00997954193404682,-0.0761967456390758,,,continuous-25160-both_sexes--irnt
B98 Other specified infectious agents as the cause of diseases classified to other chapters,130342,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,1895,279690,0.0104440857621709,0.107542083633737,,,icd_first_occurrence-130342-both_sexes--
"N31 Neuromuscular dysfunction of bladder, not elsewhere classified",132056,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,2761,278824,0.0109123794738197,0.106259942364475,,,icd_first_occurrence-132056-both_sexes--
"Forced vital capacity (FVC), Best measure",20151,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.0109644995734939,-0.00613323132558636,,,continuous-20151-both_sexes--irnt
N50 Other disorders of male genital organs,132092,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,6426,121812,0.0114134546073404,0.0719338571765162,,,icd_first_occurrence-132092-both_sexes--
M47.9 Unspecified urethral catheterisation of bladder,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1574,280012,0.0126600887230949,0.108835111666369,,,categorical-41200-both_sexes-M479-
Seating box height,3077,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,0.0127123134563037,-0.0519400364391012,,,continuous-3077-both_sexes--
O70 Perineal laceration during delivery,132264,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,3938,149409,0.0128286233247648,0.120049775990905,,,icd_first_occurrence-132264-both_sexes--
K01 Embedded and impacted teeth,131554,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1405,280180,0.0133409736617982,0.119003046834444,,,icd_first_occurrence-131554-both_sexes--
Mean OD in superior cerebellar peduncle on FA skeleton (right),25404,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0137552115965399,0.0684791168187417,,,continuous-25404-both_sexes--irnt
Mean L3 in inferior cerebellar peduncle on FA skeleton (right),25306,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0142921663780106,0.0709790550272618,,,continuous-25306-both_sexes--irnt
S57.1 Debridement of skin NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1283,280303,0.0143482329659259,0.136917674699336,,,categorical-41210-both_sexes-S571-
D50 Iron deficiency anaemia,130622,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,11753,269832,0.014371351339164,0.0632663897405745,,,icd_first_occurrence-130622-both_sexes--
I51 Complications and ill-defined descriptions of heart disease,131356,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,4910,276675,0.014421782860617,0.077637018898074,,,icd_first_occurrence-131356-both_sexes--
K82 Other diseases of gallbladder,131678,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1821,279764,0.0152035464357226,0.129863602396503,,,icd_first_occurrence-131678-both_sexes--
Median BOLD effect (in group-defined amygdala activation mask) for faces-shapes contrast,25052,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.0162943894368744,,,,continuous-25052-both_sexes--irnt
Position of the shoulder on the pulse waveform,4200,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.016332712686347,0.0186455359960863,,,continuous-4200-both_sexes--irnt
"ECG, heart rate",5983,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,53138,,0.0166132134519218,-0.0251654878902035,,,continuous-5983-both_sexes--irnt
Z70.5 Lower end of radius NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2969,278617,0.0168690101328821,0.0815643514532805,,,categorical-41210-both_sexes-Z705-
Arm fat percentage (left),23123,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276611,,0.0169011978724966,0.00362629361128149,,,continuous-23123-both_sexes--irnt
Mean ISOVF in cerebral peduncle on FA skeleton (left),25455,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0170194525511002,0.0651786632633222,,,continuous-25455-both_sexes--irnt
Volume of grey matter in Putamen (left),25882,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0171499278343739,0.0112122341844254,,,continuous-25882-both_sexes--irnt
Hand grip strength (left),46,continuous,,UK Biobank Assessment Centre > Physical measures > Hand grip strength,,280359,,0.0174530272396063,-0.00870964052843631,,,continuous-46-both_sexes--irnt
K37 Unspecified appendicitis,131608,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,3808,277777,0.0174947555169239,0.0782794195953964,,,icd_first_occurrence-131608-both_sexes--
Eye/eyelid problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2187,279356,0.0176933391930023,0.0884089849976075,,,categorical-20002-both_sexes-1242-
N87 Dysplasia of cervix uteri,132136,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,4385,148962,0.0183288238039181,0.0935644879327916,,,icd_first_occurrence-132136-both_sexes--
Mean L2 in medial lemniscus on FA skeleton (right),25256,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.018364008992289,0.0693768274097729,,,continuous-25256-both_sexes--irnt
Median z-statistic (in group-defined amygdala activation mask) for faces-shapes contrast,25054,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.0195276352148535,,,,continuous-25054-both_sexes--irnt
Position of pulse wave notch,4199,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.0203792234013392,-0.0184742624692171,,,continuous-4199-both_sexes--irnt
Mean OD in uncinate fasciculus on FA skeleton (left),25437,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0207052101466914,-0.0354638081772757,,,continuous-25437-both_sexes--irnt
Mean L3 in cerebral peduncle on FA skeleton (left),25311,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0212519609894937,0.0261932480020972,,,continuous-25311-both_sexes--irnt
Mean MO in superior cerebellar peduncle on FA skeleton (left),25165,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0228709917023198,-0.062806876597886,,,continuous-25165-both_sexes--irnt
Z50.3 Skin of finger,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2801,278785,0.023206975709811,0.104108864094118,,,categorical-41210-both_sexes-Z503-
Mean L1 in uncinate fasciculus on FA skeleton (right),25244,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0237661336397044,0.0324195070557561,,,continuous-25244-both_sexes--irnt
Heart valve problem/heart murmur,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1856,279687,0.0243873006704177,0.101887516566382,,,categorical-20002-both_sexes-1078-
Saturated fat,100006,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0244048950577462,-0.029778692697375,,,continuous-100006-both_sexes--irnt
Seated height,51,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,0.0247855093525693,-0.00836585064731125,,,continuous-51-both_sexes--irnt
Neutrophill percentage,30200,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.0252957141761941,-0.008876312253092,,,continuous-30200-both_sexes--irnt
Mean MO in uncinate fasciculus on FA skeleton (left),25197,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0254216622963509,0.0488022682803014,,,continuous-25197-both_sexes--irnt
Mean L2 in cerebral peduncle on FA skeleton (left),25263,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.025809745649862,0.0400704057669004,,,continuous-25263-both_sexes--irnt
"Volume of grey matter in Inferior Frontal Gyrus, pars triangularis (right)",25791,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0264943972773739,0.0649446346496588,,,continuous-25791-both_sexes--irnt
Augmentation index for PWA,12681,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,17299,,0.0266067458543028,0.0646647522719861,,,continuous-12681-both_sexes--irnt
Naproxen,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1830,279713,0.0266261441608832,0.126353178501388,,,categorical-20003-both_sexes-1140871462-
N18 Chronic renal failure,132032,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,9856,271729,0.0269416917539295,0.0341227156482444,,,icd_first_occurrence-132032-both_sexes--
Volume of peripheral cortical grey matter (normalised for head size),25001,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI,,16052,,0.0273543833927352,0.0129445871619077,,,continuous-25001-both_sexes--irnt
"M70 Soft tissue disorders related to use, overuse and pressure",131946,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,9518,272067,0.0278758719322568,0.0302217954202365,,,icd_first_occurrence-131946-both_sexes--
Lipitor 10mg tablet,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1953,279590,0.02886642448454,0.119017455416462,,,categorical-20003-both_sexes-1141146138-
Mean MO in retrolenticular part of internal capsule on FA skeleton (left),25173,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0291597280266884,0.054677380421382,,,continuous-25173-both_sexes--irnt
Mean L3 in cerebral peduncle on FA skeleton (right),25310,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0292755971764614,0.0397935602678362,,,continuous-25310-both_sexes--irnt
Weighted-mean FA in tract inferior fronto-occipital fasciculus (left),25500,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0295671466274923,-0.0366591217601466,,,continuous-25500-both_sexes--irnt
Eye problems/disorders,6148,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,,1677,98818,0.0296758658618486,0.0958776217697129,,,categorical-6148-both_sexes-3-
Volume of grey matter in Pallidum (right),25885,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0297494757554589,-0.0234812910944529,,,continuous-25885-both_sexes--irnt
K35 Acute appendicitis,131604,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2494,279091,0.0304123888304688,0.073331211137224,,,icd_first_occurrence-131604-both_sexes--
Mean MD in cerebral peduncle on FA skeleton (left),25119,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0306533525717362,0.0374596768669389,,,continuous-25119-both_sexes--irnt
Arm fat percentage (right),23119,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276655,,0.0308556241290375,0.00295680979903849,,,continuous-23119-both_sexes--irnt
Mental health problems ever diagnosed by a professional,20544,categorical,,Online follow-up > Mental health > Mental distress,,5201,87879,0.0309567427713626,0.101253426182596,,,categorical-20544-both_sexes-6-
M22 Disorders of patella,131882,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1825,279760,0.0314700977431559,0.120043612351769,,,icd_first_occurrence-131882-both_sexes--
Median T2star in caudate (left),25028,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0315549590660371,0.013965157413521,,,continuous-25028-both_sexes--irnt
Pulse wave reflection index,4195,continuous,,UK Biobank Assessment Centre > Physical measures > Arterial stiffness,,101696,,0.0320393687329473,0.0159400693055089,,,continuous-4195-both_sexes--irnt
Mean FA in middle cerebellar peduncle on FA skeleton,25056,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0326508590276036,-0.0611427185912484,,,continuous-25056-both_sexes--irnt
N73 Other female pelvic inflammatory diseases,132112,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,2589,150758,0.0337796644209363,0.11172725671369,,,icd_first_occurrence-132112-both_sexes--
F32 Depressive episode,130894,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,30034,251551,0.0339254685913886,0.0227390230861545,,,icd_first_occurrence-130894-both_sexes--
Mean ISOVF in cerebral peduncle on FA skeleton (right),25454,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0350107492390846,0.0578249410599008,,,continuous-25454-both_sexes--irnt
O82 Single delivery by caesarean section,132280,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1544,151803,0.0353379657817295,0.103504285779388,,,icd_first_occurrence-132280-both_sexes--
Lymphocyte percentage,30180,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.0363561458211464,0.00964815179036389,,,continuous-30180-both_sexes--irnt
Mean L3 in corticospinal tract on FA skeleton (right),25302,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0366953643356939,0.0385888496053154,,,continuous-25302-both_sexes--irnt
Mean L1 in anterior limb of internal capsule on FA skeleton (left),25217,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0379873133214551,0.0584553106778143,,,continuous-25217-both_sexes--irnt
Volume of grey matter in Precentral Gyrus (left),25794,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0380437236549345,0.00984546535458375,,,continuous-25794-both_sexes--irnt
Mean L3 in inferior cerebellar peduncle on FA skeleton (left),25307,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0399323240371671,0.0608733900430381,,,continuous-25307-both_sexes--irnt
Mean L2 in medial lemniscus on FA skeleton (left),25257,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0401136281238912,0.0617777000789299,,,continuous-25257-both_sexes--irnt
Mean MD in corticospinal tract on FA skeleton (right),25110,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0401581498604012,0.0338733404677748,,,continuous-25110-both_sexes--irnt
Ever contemplated self-harm,20485,continuous,,Online follow-up > Mental health > Self-harm behaviours,,92964,,0.0405890233019202,0.00300141969309862,,,continuous-20485-both_sexes--
Mean OD in superior cerebellar peduncle on FA skeleton (left),25405,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0415179497509401,0.0599529020675338,,,continuous-25405-both_sexes--irnt
H02 Other disorders of eyelid,131132,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,6422,275163,0.0420829141347194,0.0388743372307162,,,icd_first_occurrence-131132-both_sexes--
Median T2star in caudate (right),25029,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0431585768353772,0.0184983479215192,,,continuous-25029-both_sexes--irnt
Warfarin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2703,278840,0.0441481588337194,0.0715041348060075,,,categorical-20003-both_sexes-1140888266-
H11 Other disorders of conjunctiva,131144,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,4611,276974,0.0444286605772278,0.0320397849355471,,,icd_first_occurrence-131144-both_sexes--
Weighted-mean FA in tract anterior thalamic radiation (right),25491,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0446265388381265,-0.0278159294459406,,,continuous-25491-both_sexes--irnt
Mean L2 in sagittal stratum on FA skeleton (left),25279,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0447894777416662,0.0517376273905299,,,continuous-25279-both_sexes--irnt
Mean MO in inferior cerebellar peduncle on FA skeleton (right),25162,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0448546241588891,-0.0395131690005117,,,continuous-25162-both_sexes--irnt
Weighted-mean FA in tract inferior fronto-occipital fasciculus (right),25501,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0451510741315546,-0.0415777168263143,,,continuous-25501-both_sexes--irnt
Mean MO in medial lemniscus on FA skeleton (left),25161,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0454754458588604,-0.0605212849393695,,,continuous-25161-both_sexes--irnt
Mean ISOVF in anterior limb of internal capsule on FA skeleton (left),25457,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0460208157829327,0.0592903854755548,,,continuous-25457-both_sexes--irnt
L20 Atopic dermatitis,131720,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,7801,273784,0.0460963065055523,0.0467354498546712,,,icd_first_occurrence-131720-both_sexes--
Weighted-mean MO in tract medial lemniscus (left),25559,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0461963618077085,-0.0595257562992191,,,continuous-25559-both_sexes--irnt
Weighted-mean L2 in tract inferior fronto-occipital fasciculus (left),25608,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0465869618686858,0.029345327814833,,,continuous-25608-both_sexes--irnt
Bipolar and major depression status,20126,categorical,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,5020,69122,0.0468087689748691,0.0723356607055757,,,categorical-20126-both_sexes-5-
Hypothyroidism/myxoedema,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,13734,267809,0.0471000850450231,0.0538399250462622,,,categorical-20002-both_sexes-1226-
Z07.3 Spinal nerve root of lumbar spine,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1264,280322,0.0472850872292689,0.0794071178585165,,,categorical-41210-both_sexes-Z073-
Mean L1 in corticospinal tract on FA skeleton (right),25206,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0509300024074216,0.0309283943702577,,,continuous-25206-both_sexes--irnt
Weighted-mean ISOVF in tract posterior thalamic radiation (right),25724,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0517503048887924,-0.0282659985898704,,,continuous-25724-both_sexes--irnt
