Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
N87 Dysplasia of cervix uteri,132136,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,4385,148962,0.0395153347265448,0.0153597170084214,,,icd_first_occurrence-132136-both_sexes--
"N47 Redundant prepuce, phimosis and paraphimosis",132086,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1887,126351,0.0395776220697749,0.0579242261075194,,,icd_first_occurrence-132086-both_sexes--
HDL cholesterol,30760,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,246179,,0.0402363705320085,0.00316689506712295,,,continuous-30760-both_sexes--irnt
Mean OD in superior longitudinal fasciculus on FA skeleton (right),25432,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.041190804652265,-0.0238978303591059,,,continuous-25432-both_sexes--irnt
Volume of grey matter in Superior Frontal Gyrus (left),25786,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0421118610106442,-0.0214515743027815,,,continuous-25786-both_sexes--irnt
Phosphate,30810,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,245839,,0.0427111646156247,0.00144570768864167,,,continuous-30810-both_sexes--irnt
A52.2 Therapeutic sacral epidural injection,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1544,280042,0.0427401967311848,0.0563246713166357,,,categorical-41200-both_sexes-A522-
Monocyte count,30130,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.0451571949872686,-0.00457560580664926,,,continuous-30130-both_sexes--irnt
G45.9 Unspecified diagnostic fibreoptic endoscopic examination of upper gastrointestinal tract,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,19994,261592,0.0456966947793416,-0.0206816973523512,,,categorical-41200-both_sexes-G459-
Haematocrit percentage,30030,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273542,,0.0463118802912879,-0.00385982705284473,,,continuous-30030-both_sexes--irnt
Volume of grey matter in Subcallosal Cortex (left),25834,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0464164271564218,-0.0200483385600393,,,continuous-25834-both_sexes--irnt
F41 Other anxiety disorders,130906,icd_first_occurrence,,Health-related outcomes > First occurrences > Mental and behavioural disorders,,13152,268433,0.0480002393964702,-0.00629856167054328,,,icd_first_occurrence-130906-both_sexes--
Wheeze or whistling in the chest in last year,2316,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing,,57451,218677,0.0501070237898263,-0.013000217551313,,,categorical-2316-both_sexes--
I51 Complications and ill-defined descriptions of heart disease,131356,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,4910,276675,0.0503736265688267,-0.0414094284220375,,,icd_first_occurrence-131356-both_sexes--
Mean OD in superior longitudinal fasciculus on FA skeleton (left),25433,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0508670165166933,-0.023088597547701,,,continuous-25433-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), predicted percentage",20154,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,84144,,0.0517453025173062,0.00935850414800057,,,continuous-20154-both_sexes--irnt
G45.1 Fibreoptic endoscopic examination of upper gastrointestinal tract and biopsy of lesion of upper gastrointestinal tract,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,33796,247790,0.0519754095660927,-0.0163931244895271,,,categorical-41200-both_sexes-G451-
Volume of grey matter in Brain-Stem,25892,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.052157420181648,-0.0197651793653256,,,continuous-25892-both_sexes--irnt
Q18.8 Other specified diagnostic endoscopic examination of uterus,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2918,150430,0.052315152216742,0.0298245540025898,,,categorical-41200-both_sexes-Q188-
Mean arterial pressure during PWA,12687,continuous,,UK Biobank Assessment Centre > Imaging > Heart MRI > Pulse wave analysis,,17183,,0.0526458680171324,0.0199893398648253,,,continuous-12687-both_sexes--irnt
Y81.1 Epidural anaesthetic using lumbar approach,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2254,279332,0.0548841291927631,0.0245882906132071,,,categorical-41210-both_sexes-Y811-
K14 Diseases of tongue,131580,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1933,279652,0.055729539443465,0.0570781394613925,,,icd_first_occurrence-131580-both_sexes--
N30.3 Circumcision,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1542,126696,0.0558721676680243,0.0585492567124361,,,categorical-41200-both_sexes-N303-
Z29.1 Rectum,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8132,273454,0.0559468488942804,0.0261320792387141,,,categorical-41210-both_sexes-Z291-
Weighted-mean L1 in tract inferior fronto-occipital fasciculus (right),25582,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0564842143244492,-0.0185764035829775,,,continuous-25582-both_sexes--irnt
"M76 Enthesopathies of lower limb, excluding foot",131956,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,4588,276997,0.0567444651850348,-0.0413931624792133,,,icd_first_occurrence-131956-both_sexes--
Smoking status,20116,categorical,,UK Biobank Assessment Centre > Touchscreen > Lifestyle and environment > Smoking,,28570,251824,0.0567805977041297,-0.0174670513253921,,,categorical-20116-both_sexes-2-
Inguinal hernia repair,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,4433,277110,0.0573280487717021,-0.0034237889254451,,,categorical-20004-both_sexes-1563-
Longest period of mania or irritability,20492,continuous,,Online follow-up > Mental health > Mania,,22219,,0.0587499838756061,-0.0132475715092786,,,continuous-20492-both_sexes--
Elbow surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1724,279819,0.0609458098230041,0.0486267219799239,,,categorical-20004-both_sexes-1500-
"Forced vital capacity (FVC), Best measure",20151,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.0612796867069381,0.00300386828469524,,,continuous-20151-both_sexes--irnt
Mean MO in sagittal stratum on FA skeleton (left),25183,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.061672029200473,0.0186065210435746,,,continuous-25183-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), Best measure",20150,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.0620988367262159,0.00346781682348262,,,continuous-20150-both_sexes--irnt
Mental health problems ever diagnosed by a professional,20544,categorical,,Online follow-up > Mental health > Mental distress,,5201,87879,0.0632605018087506,0.0049836451064647,,,categorical-20544-both_sexes-6-
Age at hysterectomy,2824,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,28384,,0.063681537933065,0.003796061741022,,,continuous-2824-both_sexes--irnt
Mean corpuscular haemoglobin concentration,30060,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273537,,0.0639908089687105,0.003657410757521,,,continuous-30060-both_sexes--irnt
"Volume of grey matter in Supramarginal Gyrus, posterior division (left)",25820,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0641762823515181,0.0201603343893433,,,continuous-25820-both_sexes--irnt
Sciatica,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2619,278924,0.0672849681213925,0.0213500885296974,,,categorical-20002-both_sexes-1476-
Skin operation or plastic surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2311,279232,0.0697858965448428,0.0284549375919905,,,categorical-20004-both_sexes-1474-
Weighted-mean ISOVF in tract cingulate gyrus part of cingulum (left),25708,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0701467793523567,-0.01226716896424,,,continuous-25708-both_sexes--irnt
W36.5 Diagnostic extraction of bone marrow NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2220,279366,0.0705154372522319,0.0478125452286601,,,categorical-41200-both_sexes-W365-
Median T2star in putamen (right),25031,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0716329272727458,0.0160430273324698,,,continuous-25031-both_sexes--irnt
Mean ICVF in anterior limb of internal capsule on FA skeleton (right),25360,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0716436944176155,-0.0203549181391592,,,continuous-25360-both_sexes--irnt
"Volume of grey matter in Inferior Temporal Gyrus, anterior division (right)",25809,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0718780889502104,-0.0191353960937217,,,continuous-25809-both_sexes--irnt
Volume of grey matter in Planum Temporale (left),25872,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0732228945012381,-0.0183448857143615,,,continuous-25872-both_sexes--irnt
Volume of grey matter in Intracalcarine Cortex (left),25828,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0735020640434623,-0.019510641508775,,,continuous-25828-both_sexes--irnt
"Volume of grey matter in Lateral Occipital Cortex, inferior division (right)",25827,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0742369570178874,-0.0185694408345173,,,continuous-25827-both_sexes--irnt
Fluticasone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1247,280296,0.0749372075238042,0.0480355338450074,,,categorical-20003-both_sexes-1140888098-
"N92 Excessive, frequent and irregular menstruation",132146,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,16751,136596,0.0751171827662707,-0.0223733415173988,,,icd_first_occurrence-132146-both_sexes--
Other neurological problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1129,280414,0.0768566046725647,0.030103070652375,,,categorical-20002-both_sexes-1434-
W38.1 Primary total prosthetic replacement of hip joint not using cement,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2756,278830,0.0775557854263368,0.0471200479520348,,,categorical-41200-both_sexes-W381-
M13 Other arthritis,131864,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,17687,263898,0.0795010917487962,-0.0180497001559639,,,icd_first_occurrence-131864-both_sexes--
M47.3 Removal of urethral catheter from bladder,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1162,280424,0.0802802921187223,0.0304080428346257,,,categorical-41210-both_sexes-M473-
"M53 Other dorsopathies, not elsewhere classified",131926,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,3562,278023,0.0809912739009646,0.0169471796793333,,,icd_first_occurrence-131926-both_sexes--
Z48.1 Skin of scalp,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2159,279427,0.0821376017054882,0.0161642076995665,,,categorical-41210-both_sexes-Z481-
Mean ISOVF in tapetum on FA skeleton (right),25486,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0823557219856563,0.0203627401596806,,,continuous-25486-both_sexes--irnt
Mean MO in splenium of corpus callosum on FA skeleton,25156,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0849159410923703,0.0191555057924499,,,continuous-25156-both_sexes--irnt
Allergy/hypersensitivity/anaphylaxis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1996,279547,0.0855036890483409,0.0193229099531365,,,categorical-20002-both_sexes-1374-
A08 Viral and other specified intestinal infections,130016,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,2723,278862,0.0857179554245265,0.046886259191187,,,icd_first_occurrence-130016-both_sexes--
Foot surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,5519,276024,0.0857579770566275,0.0189704824921754,,,categorical-20004-both_sexes-1494-
L87.4 Avulsion of varicose vein of leg,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4031,277555,0.0866092672010873,-0.0407753123633082,,,categorical-41210-both_sexes-L874-
Mean OD in sagittal stratum on FA skeleton (left),25423,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.086632781156563,-0.0198179100791706,,,continuous-25423-both_sexes--irnt
Trunk fat percentage,23127,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276550,,0.0875092517918278,-0.00426821637425176,,,continuous-23127-both_sexes--irnt
Mean L1 in anterior limb of internal capsule on FA skeleton (left),25217,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0877214824228139,0.0191265194927332,,,continuous-25217-both_sexes--irnt
Mean FA in posterior corona radiata on FA skeleton (right),25082,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.088079080308343,0.0205693291393594,,,continuous-25082-both_sexes--irnt
Median T2star in caudate (left),25028,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0889784768079539,0.0204796353230865,,,continuous-25028-both_sexes--irnt
Mean L1 in superior longitudinal fasciculus on FA skeleton (left),25241,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0892267902461632,0.0200541712459075,,,continuous-25241-both_sexes--irnt
Mean MO in cerebral peduncle on FA skeleton (right),25166,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0897559861458677,0.0203786775559995,,,continuous-25166-both_sexes--irnt
Lipoprotein A,30790,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,213892,,0.0925338330747919,0.000817108055349571,,,continuous-30790-both_sexes--irnt
Saturated fat,100006,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.093574140121094,-0.0106730515864979,,,continuous-100006-both_sexes--irnt
Volume of grey matter in Paracingulate Gyrus (right),25837,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.0954553404666028,-0.0122283291477824,,,continuous-25837-both_sexes--irnt
Stomach surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1613,279930,0.0961569265980255,0.0358632880671087,,,categorical-20004-both_sexes-1448-
W90.3 Injection of therapeutic substance into joint,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5080,276506,0.0963212094334308,0.000860024448710246,,,categorical-41200-both_sexes-W903-
Volume of amygdala (left),25021,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Subcortical volumes (FIRST),,16038,,0.0982824887821837,0.00544101460427838,,,continuous-25021-both_sexes--irnt
Mean ISOVF in retrolenticular part of internal capsule on FA skeleton (right),25460,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0988909947125451,-0.00803121002844639,,,continuous-25460-both_sexes--irnt
Median BOLD effect (in group-defined mask) for faces-shapes contrast,25048,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.100059631066414,0.0179466903699726,,,continuous-25048-both_sexes--irnt
Age when periods started (menarche),2714,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,149031,,0.101013863220763,0.0028623843005939,,,continuous-2714-both_sexes--
Volume of grey matter in Insular Cortex (right),25785,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > T1 structural brain MRI > Regional grey matter volumes (FAST),,16047,,0.101562902734029,-0.0111169800577139,,,continuous-25785-both_sexes--irnt
Percutaneous/open kidney stone surgery/lithotripsy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1600,279943,0.102370261583845,0.0122378480170545,,,categorical-20004-both_sexes-1197-
Mean MO in pontine crossing tract on FA skeleton,25153,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.103254351224165,0.0183732224398503,,,continuous-25153-both_sexes--irnt
"ECG, load",5984,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,53191,,0.103380376334036,-0.00748291926729939,,,continuous-5984-both_sexes--irnt
O82 Single delivery by caesarean section,132280,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,1544,151803,0.103774738998076,0.0366709387696812,,,icd_first_occurrence-132280-both_sexes--
E83 Disorders of mineral metabolism,130820,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,2524,279061,0.105990760202978,0.0251215813567382,,,icd_first_occurrence-130820-both_sexes--
C71.2 Phacoemulsification of lens,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,12807,268779,0.106751302922752,-0.0223051136465547,,,categorical-41210-both_sexes-C712-
I80 Phlebitis and thrombophlebitis,131396,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,9555,272030,0.106919018486441,-0.0101466322307459,,,icd_first_occurrence-131396-both_sexes--
Mean L1 in tapetum on FA skeleton (right),25246,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.106954901158256,0.0187706194787628,,,continuous-25246-both_sexes--irnt
Evening primrose oil,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,4228,149100,0.107409586628837,0.0295600580128852,,,categorical-20003-both_sexes-1140916682-
