Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Z66.3 Cervical vertebra,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1233,280353,0.0270713612496899,0.158238987862861,,,categorical-41210-both_sexes-Z663-
Y02.2 Insertion of prosthesis into organ NOC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1688,279898,0.0286465400557647,0.125702754356102,,,categorical-41210-both_sexes-Y022-
Z47.2 Skin of temple,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1362,280224,0.0292002221763772,0.146717493621524,,,categorical-41210-both_sexes-Z472-
Ever contemplated self-harm,20485,continuous,,Online follow-up > Mental health > Self-harm behaviours,,92964,,0.0303293445770181,0.0140616880965179,,,continuous-20485-both_sexes--
Triglycerides,30870,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,268345,,0.0321500384561972,0.018807364085445,,,continuous-30870-both_sexes--irnt
Upper limb surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1448,280095,0.0333643804710207,0.14516200472754,,,categorical-20004-both_sexes-1498-
Valsartan,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1302,280241,0.0335607981970683,0.144492243956501,,,categorical-20003-both_sexes-1141145660-
Leg fat-free mass (left),23117,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276664,,0.0338043954197089,0.0120759145702899,,,continuous-23117-both_sexes--irnt
Atorvastatin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,8252,273291,0.0338583612260952,0.0547173581504676,,,categorical-20003-both_sexes-1141146234-
B86 Scabies,130320,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,1361,280224,0.0345351321508425,0.157737673521045,,,icd_first_occurrence-130320-both_sexes--
Trunk predicted mass,23130,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276472,,0.0364319932231932,0.0114055669700909,,,continuous-23130-both_sexes--irnt
Leg predicted mass (left),23118,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276662,,0.0383561458090258,0.0117534453212949,,,continuous-23118-both_sexes--irnt
Arm predicted mass (left),23126,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276573,,0.0386175460985437,0.0113014032536427,,,continuous-23126-both_sexes--irnt
X72.2 Delivery of complex parenteral chemotherapy for neoplasm at first attendance,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1453,280133,0.0390028643806981,0.134566146989486,,,categorical-41210-both_sexes-X722-
Trunk fat-free mass,23129,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276500,,0.0396206401292327,0.0113121955112358,,,continuous-23129-both_sexes--irnt
K61 Abscess of anal and rectal regions,131644,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1642,279943,0.0407967421427597,0.13617355374071,,,icd_first_occurrence-131644-both_sexes--
Other bowel surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1694,279849,0.0408578626181075,0.129089100215703,,,categorical-20004-both_sexes-1466-
Adenoid surgery / adenoidectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,1667,279876,0.0419397155130363,0.127297066149789,,,categorical-20004-both_sexes-1562-
Ever had period of mania / excitability,20501,categorical,,Online follow-up > Mental health > Mania,,3911,87299,0.0422991197355208,0.102748332748056,,,categorical-20501-both_sexes--
E16 Other disorders of pancreatic internal secretion,130718,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,1602,279983,0.0438342647743936,0.129497508387295,,,icd_first_occurrence-130718-both_sexes--
Arm fat-free mass (left),23125,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276584,,0.0471778594435456,0.0110714250926852,,,continuous-23125-both_sexes--irnt
P23.3 Posterior colporrhaphy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1423,151925,0.0482648341129828,0.146776473367507,,,categorical-41200-both_sexes-P233-
Z28.7 Colon NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,5111,276475,0.0486347766397689,0.108284648335861,,,categorical-41210-both_sexes-Z287-
M22 Disorders of patella,131882,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,1825,279760,0.0486708214430848,0.13851831685485,,,icd_first_occurrence-131882-both_sexes--
K11 Diseases of salivary glands,131574,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1856,279729,0.0503965851627847,0.127795676330963,,,icd_first_occurrence-131574-both_sexes--
Z66.5 Lumbar vertebra,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1796,279790,0.050397338411999,0.123005620424069,,,categorical-41210-both_sexes-Z665-
"M25 Other joint disorders, not elsewhere classified",131888,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,48780,232805,0.0514831743760423,-0.0490024384703463,,,icd_first_occurrence-131888-both_sexes--
Immature reticulocyte fraction,30280,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268453,,0.0517918814547377,-0.0167626556360864,,,continuous-30280-both_sexes--irnt
H20.6 Fibreoptic endoscopic resection of lesion of colon NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2653,278933,0.0526796820282529,0.0905530947200197,,,categorical-41200-both_sexes-H206-
Arm fat-free mass (right),23121,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276631,,0.0540942044222421,0.0100556150955779,,,continuous-23121-both_sexes--irnt
T86.2 Sampling of axillary lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1664,151684,0.0544576081145651,0.13079951586033,,,categorical-41210-both_sexes-T862-
K14 Diseases of tongue,131580,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1933,279652,0.0548816347376794,0.121767044174326,,,icd_first_occurrence-131580-both_sexes--
Furosemide,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2010,279533,0.0555670411217785,0.106368305515357,,,categorical-20003-both_sexes-1140909708-
E03.6 Septoplasty of nose NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2303,279283,0.0567041958630526,0.113955447635726,,,categorical-41200-both_sexes-E036-
Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243015,,0.0584842618105644,-0.00273179943793412,,,continuous-30850-both_sexes--irnt
Z89.6 Finger NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2019,279567,0.0586218622433822,0.11007880284719,,,categorical-41210-both_sexes-Z896-
Ever thought that life not worth living,20479,continuous,,Online follow-up > Mental health > Self-harm behaviours,,92725,,0.0607602344409433,0.0213040750081206,,,continuous-20479-both_sexes--
L25 Unspecified contact dermatitis,131730,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,1820,279765,0.0616053176310003,0.126038073506543,,,icd_first_occurrence-131730-both_sexes--
B27.4 Total mastectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1766,151582,0.0619032448366673,0.133847409403046,,,categorical-41200-both_sexes-B274-
Arm predicted mass (right),23122,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276628,,0.0629982615361996,0.010095934891645,,,continuous-23122-both_sexes--irnt
Bipolar and major depression status,20126,categorical,,UK Biobank Assessment Centre > Touchscreen > Psychosocial factors > Mental health,,53407,20735,0.0685024205361203,-0.0409245970012785,,,categorical-20126-both_sexes-0-
Z48.2 Skin of neck,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2767,278819,0.0687471866694247,0.0912414531284881,,,categorical-41210-both_sexes-Z482-
Recent feelings of tiredness or low energy,20519,continuous,,Online follow-up > Mental health > Depression,,93164,,0.0715809862776782,0.0218683331315092,,,continuous-20519-both_sexes--
Spinal laminectomy,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2359,279184,0.0734606426992277,0.096956680955363,,,categorical-20004-both_sexes-1492-
Skin operation or plastic surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2311,279232,0.0748305286300732,0.109326027000394,,,categorical-20004-both_sexes-1474-
N23 Unspecified renal colic,132042,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,3153,278432,0.0750519931939628,0.0801080530252133,,,icd_first_occurrence-132042-both_sexes--
Allergy or anaphylactic reaction to drug,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2442,279101,0.0773673783551557,0.109372314817311,,,categorical-20002-both_sexes-1386-
T85.2 Block dissection of axillary lymph nodes,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2240,151108,0.0788565266699782,0.1207234372065,,,categorical-41210-both_sexes-T852-
Carbohydrate,100005,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.0804734230587676,-0.0281158024033667,,,continuous-100005-both_sexes--irnt
Umbilical hernia repair,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2474,279069,0.081866118297253,0.0964244319485615,,,categorical-20004-both_sexes-1404-
Age when periods started (menarche),2714,continuous,,UK Biobank Assessment Centre > Touchscreen > Sex-specific factors > Female-specific factors,,149031,,0.0829323459232734,-0.0168885321197366,,,continuous-2714-both_sexes--
Seretide 50 evohaler,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3369,278174,0.0833577043695324,0.075560213811682,,,categorical-20003-both_sexes-1141176832-
J47 Bronchiectasis,131498,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,2311,279274,0.0836974025079475,0.0993547293017263,,,icd_first_occurrence-131498-both_sexes--
Gliclazide,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,2298,279245,0.0843655437123386,0.0982519573368957,,,categorical-20003-both_sexes-1140874744-
Z49.3 Skin of anterior trunk,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3080,278506,0.0868204710427302,0.0855292052170817,,,categorical-41210-both_sexes-Z493-
Substances taken for depression,20546,categorical,,Online follow-up > Mental health > Depression,,6781,86351,0.0897304672233645,0.0788273137305479,,,categorical-20546-both_sexes-4-
Recent feelings of foreboding,20512,continuous,,Online follow-up > Mental health > Anxiety,,92903,,0.0945874148800138,0.0135873379465363,,,continuous-20512-both_sexes--
L29 Pruritus,131738,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,6908,274677,0.0955239111614019,0.0863937615438117,,,icd_first_occurrence-131738-both_sexes--
M72 Fibroblastic disorders,131950,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,13771,267814,0.0970115773528962,0.0269308367234392,,,icd_first_occurrence-131950-both_sexes--
Weight,23098,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276717,,0.0986834641942248,0.0134670439045764,,,continuous-23098-both_sexes--irnt
J18.3 Total cholecystectomy NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,8222,273364,0.0994218228020998,0.095491945551013,,,categorical-41200-both_sexes-J183-
"Ever had known person concerned about, or recommend reduction of, alcohol consumption",20405,continuous,,Online follow-up > Mental health > Alcohol use,,93216,,0.0994826396123459,0.00890299855349406,,,continuous-20405-both_sexes--
Weight,21002,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280748,,0.099682110991599,0.0134483738410587,,,continuous-21002-both_sexes--irnt
Fluoxetine,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3282,278261,0.100967998785986,0.0968875301486453,,,categorical-20003-both_sexes-1140879540-
Microalbumin in urine,30500,continuous,,Biological samples > Assay results > Urine assays,,85030,,0.101667656757739,0.0181591641410542,,,continuous-30500-both_sexes--irnt
Z47.3 Skin of cheek,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2946,278640,0.10178564660676,0.0805379584245868,,,categorical-41210-both_sexes-Z473-
D70 Agranulocytosis,130660,icd_first_occurrence,,"Health-related outcomes > First occurrences > Blood, blood-forming organs and certain immune disorders",,2902,278683,0.101851085432735,0.0851370390365426,,,icd_first_occurrence-130660-both_sexes--
Arthritis (nos),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2481,279062,0.10239213574538,0.0965962813914334,,,categorical-20002-both_sexes-1538-
Arm fat percentage (left),23123,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276611,,0.102413871507531,0.00488708109259394,,,continuous-23123-both_sexes--irnt
Arm fat percentage (right),23119,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276655,,0.111919094402011,0.00512991642000296,,,continuous-23119-both_sexes--irnt
Arm fat mass (right),23120,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276634,,0.112162956933259,0.00940076689828049,,,continuous-23120-both_sexes--irnt
N41 Inflammatory diseases of prostate,132074,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,2391,125847,0.112267047359753,0.099985568789518,,,icd_first_occurrence-132074-both_sexes--
M43 Other deforming dorsopathies,131910,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,2859,278726,0.114889242700951,0.085336535029978,,,icd_first_occurrence-131910-both_sexes--
Y84.2 Sedation NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2406,279180,0.116857764317586,0.0908343858024634,,,categorical-41210-both_sexes-Y842-
"Forced vital capacity (FVC), Best measure",20151,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.118023045324766,-0.0135128525649834,,,continuous-20151-both_sexes--irnt
Touchscreen duration,630,continuous,,UK Biobank Assessment Centre > Procedural metrics > Process durations,,281430,,0.120428472868854,0.0112369488849141,,,continuous-630-both_sexes--irnt
Basophill count,30160,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.121042998281183,-0.0100490811921008,,,continuous-30160-both_sexes--
Doxazosin,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3105,278438,0.121048056168458,0.0725687940329527,,,categorical-20003-both_sexes-1140879778-
Anterior/posterior repair bladder/uterus,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,2553,150775,0.121425388265767,0.0996395711801806,,,categorical-20004-both_sexes-1488-
L90 Atrophic disorders of skin,131822,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,3062,278523,0.123415284661202,0.0860305317262127,,,icd_first_occurrence-131822-both_sexes--
Removal of mole/skin lesion,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,3843,277700,0.123623568756151,0.0644164425657228,,,categorical-20004-both_sexes-1504-
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,190735,90264,0.126902710959866,-0.014635921739579,,,categorical-6152-both_sexes-100-
Weight change during worst episode of depression,20536,categorical,,Online follow-up > Mental health > Depression,,16167,28751,0.128151568808307,-0.0621037605873297,,,categorical-20536-both_sexes-2-
B95 Streptococcus and staphylococcus as the cause of diseases classified to other chapters,130336,icd_first_occurrence,,Health-related outcomes > First occurrences > Certain infectious and parasitic diseases,,3299,278286,0.129675718010595,0.0758351440851742,,,icd_first_occurrence-130336-both_sexes--
"Trouble falling or staying asleep, or sleeping too much",20517,continuous,,Online follow-up > Mental health > Depression,,93151,,0.131188924531863,0.0210980849093574,,,continuous-20517-both_sexes--
Doctor diagnosed hayfever or allergic rhinitis,22126,categorical,,Online follow-up > Work environment > Medical information,,16495,55692,0.132678675117387,0.0430404717101089,,,categorical-22126-both_sexes--
Tonsillectomy / tonsil surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,13914,267629,0.133861335238136,0.024010959575884,,,categorical-20004-both_sexes-1561-
Arm fat mass (left),23124,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276590,,0.134142770200209,0.0109642695283685,,,continuous-23124-both_sexes--irnt
Q18.9 Unspecified diagnostic endoscopic examination of uterus,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3741,149607,0.136425188483662,0.0877192936718662,,,categorical-41210-both_sexes-Q189-
"ECG, phase time",5986,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,53340,,0.137286889622539,0.0264544224127281,,,continuous-5986-both_sexes--irnt
Recent trouble concentrating on things,20508,continuous,,Online follow-up > Mental health > Depression,,93221,,0.138790843038819,0.0129892806944326,,,continuous-20508-both_sexes--
Psoriasis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3135,278408,0.140616069081338,0.081889745061603,,,categorical-20002-both_sexes-1453-
Hand grip strength (right),47,continuous,,UK Biobank Assessment Centre > Physical measures > Hand grip strength,,280393,,0.141431290490967,-0.000937072539829219,,,continuous-47-both_sexes--irnt
Z94.2 Right sided operation,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,80087,201499,0.144481493942095,-0.0322844518286068,,,categorical-41210-both_sexes-Z942-
Mean time to correctly identify matches,20023,continuous,,UK Biobank Assessment Centre > Cognitive function > Reaction time,,279555,,0.154088410662534,0.00980810343266521,,,continuous-20023-both_sexes--irnt
Starch,100023,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.154234356309401,-0.0247053727308054,,,continuous-100023-both_sexes--irnt
Polyunsaturated fat,100007,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.154962538806281,-0.0257837195945298,,,continuous-100007-both_sexes--irnt
Z49.4 Skin of back,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4158,277428,0.159799175959851,0.0602254735553689,,,categorical-41210-both_sexes-Z494-
High light scatter reticulocyte percentage,30290,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268454,,0.16218189793741,-0.00580422671706214,,,continuous-30290-both_sexes--irnt
Chondroitin product,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3581,277962,0.162356685751889,0.06977650539949,,,categorical-20003-both_sexes-1187-
Shortness of breath walking on level ground,4717,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Breathing,,10591,90266,0.163291683753256,0.0460658203515248,,,categorical-4717-both_sexes--
Standing height,50,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280946,,0.163898396816205,0.00151219454451001,,,continuous-50-both_sexes--irnt
High light scatter reticulocyte count,30300,continuous,,Biological samples > Assay results > Blood assays > Blood count,,268453,,0.164266776762468,-0.00411845350214771,,,continuous-30300-both_sexes--irnt
Emphysema/chronic bronchitis,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,3840,277703,0.16463180229963,0.0607747730719762,,,categorical-20002-both_sexes-1113-
Frequency of feeling guilt or remorse after drinking alcohol in last year,20409,continuous,,Online follow-up > Mental health > Alcohol use,,51440,,0.165904777806164,0.0106545798164422,,,continuous-20409-both_sexes--
Nasal/sinus/nose surgery,20004,categorical,,UK Biobank Assessment Centre > Verbal interview > Operations,,9577,271966,0.166659205761385,0.0577390401271673,,,categorical-20004-both_sexes-1128-
Eosinophill percentage,30210,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.167124574849124,0.0128359796317081,,,continuous-30210-both_sexes--irnt
Comparative height size at age 10,1697,continuous,,UK Biobank Assessment Centre > Touchscreen > Early life factors,,276881,,0.168566858523122,0.00352236013880186,,,continuous-1697-both_sexes--
Eosinophill count,30150,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.171460075676945,0.0125234532302661,,,continuous-30150-both_sexes--irnt
Body fat percentage,23099,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276563,,0.173919401622149,0.00245866061830434,,,continuous-23099-both_sexes--irnt
"Forced expiratory volume in 1-second (FEV1), Best measure",20150,continuous,,UK Biobank Assessment Centre > Physical measures > Spirometry,,208760,,0.177040754537001,-0.0124452230482737,,,continuous-20150-both_sexes--irnt
Perindopril,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,3860,277683,0.177867397551632,0.0623925829382524,,,categorical-20003-both_sexes-1140888560-
"L98 Other disorders of skin and subcutaneous tissue, not elsewhere classified",131836,icd_first_occurrence,,Health-related outcomes > First occurrences > Skin and subcutaneous tissue disorders,,26561,255024,0.179447214748501,-0.045117360240334,,,icd_first_occurrence-131836-both_sexes--
"ECG, heart rate",5983,continuous,,UK Biobank Assessment Centre > Physical measures > ECG during exercise,,53138,,0.183507473709254,0.0268327154764995,,,continuous-5983-both_sexes--irnt
E05 Thyrotoxicosis [hyperthyroidism],130700,icd_first_occurrence,,"Health-related outcomes > First occurrences > Endocrine, nutritional and metabolic diseases",,3979,277606,0.1903367949169,0.068947304880714,,,icd_first_occurrence-130700-both_sexes--
Z27.2 Stomach,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,20131,261455,0.191419424765368,0.0356748330217365,,,categorical-41210-both_sexes-Z272-
Heel bone mineral density (BMD) (left),4105,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,97832,,0.191610744824868,0.00751980027354991,,,continuous-4105-both_sexes--irnt
Whole body fat mass,23100,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276275,,0.19352869350124,0.00687086495753607,,,continuous-23100-both_sexes--irnt
"Heel bone mineral density (BMD) T-score, automated (left)",4106,continuous,,UK Biobank Assessment Centre > Physical measures > Bone-densitometry of heel,,97889,,0.194843674731572,0.00776294123286227,,,continuous-4106-both_sexes--irnt
Trunk fat mass,23128,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Impedance measures,,276541,,0.196345364906214,0.00533277353875487,,,continuous-23128-both_sexes--irnt
Alanine aminotransferase,30620,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,268464,,0.197621598914567,0.0119923857589603,,,continuous-30620-both_sexes--irnt
