Description,Phenotype,Trait type,Sex,Category,Info,N cases,N controls,P-Value (SKAT-O),Beta,Select,,analysis_id
Mean L3 in uncinate fasciculus on FA skeleton (left),25341,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00371349638248109,-0.0193631491631778,,,continuous-25341-both_sexes--irnt
Mean L1 in anterior limb of internal capsule on FA skeleton (left),25217,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00376522672228385,-0.0313067209346244,,,continuous-25217-both_sexes--irnt
Mean FA in cerebral peduncle on FA skeleton (right),25070,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.004042637926152,0.00805651188689639,,,continuous-25070-both_sexes--irnt
Y75.2 Laparoscopic approach to abdominal cavity NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,10319,271267,0.00413750712091021,0.0446619272255688,,,categorical-41210-both_sexes-Y752-
Weighted-mean MD in tract uncinate fasciculus (left),25540,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00421732665505936,-0.0282026997113852,,,continuous-25540-both_sexes--irnt
Z48.1 Skin of scalp,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2159,279427,0.00473415961024271,0.0563411548138293,,,categorical-41210-both_sexes-Z481-
Weighted-mean L2 in tract uncinate fasciculus (left),25621,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00474789430825329,-0.0266185994482889,,,continuous-25621-both_sexes--irnt
Z50.4 Skin of leg NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,4519,277067,0.00514385136381712,0.0451596387310303,,,categorical-41210-both_sexes-Z504-
Seating box height,3077,continuous,,UK Biobank Assessment Centre > Physical measures > Anthropometry > Body size measures,,280890,,0.0056197622922024,0.00571956674761558,,,continuous-3077-both_sexes--
Other neurological problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1129,280414,0.00573594421815815,0.0867983347644745,,,categorical-20002-both_sexes-1434-
X70.2 Procurement of drugs for chemotherapy for neoplasm for regimens in Band 2,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1827,279759,0.00590454828013653,0.0785803383470829,,,categorical-41200-both_sexes-X702-
Mean MD in external capsule on FA skeleton (left),25137,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00606774588359693,-0.0212323783321339,,,continuous-25137-both_sexes--irnt
H92 Otalgia and effusion of ear,131262,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,9442,272143,0.00609361346126225,0.0432140486177768,,,icd_first_occurrence-131262-both_sexes--
Neutrophill percentage,30200,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273112,,0.00641908620758813,0.0075653263331781,,,continuous-30200-both_sexes--irnt
Mean L3 in posterior corona radiata on FA skeleton (left),25323,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00644723672272784,-0.00699498170188394,,,continuous-25323-both_sexes--irnt
Z84.3 Hip joint,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2592,278994,0.0065886556559015,0.0557050221537762,,,categorical-41210-both_sexes-Z843-
"G98 Other disorders of nervous system, not elsewhere classified",131124,icd_first_occurrence,,Health-related outcomes > First occurrences > Nervous system disorders,,1171,280414,0.00671671561837794,0.0834177096135747,,,icd_first_occurrence-131124-both_sexes--
Bendrofluazide,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1459,280084,0.00671695464639033,0.0602543710593436,,,categorical-20003-both_sexes-1140866122-
Mean L2 in anterior corona radiata on FA skeleton (left),25271,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00706149193296834,-0.0166082793533246,,,continuous-25271-both_sexes--irnt
Lymphocyte count,30120,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.00744612676048673,-0.00825515799747288,,,continuous-30120-both_sexes--irnt
Mean MD in uncinate fasciculus on FA skeleton (right),25148,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00789956536055081,-0.0126009891410824,,,continuous-25148-both_sexes--irnt
Weighted-mean L2 in tract uncinate fasciculus (right),25622,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00790045045249532,-0.0158814201927093,,,continuous-25622-both_sexes--irnt
W28.3 Removal of internal fixation from bone NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2826,278760,0.00792974891836373,0.05350284014567,,,categorical-41200-both_sexes-W283-
Weighted-mean MD in tract uncinate fasciculus (right),25541,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00843824191109921,-0.0171162719108278,,,continuous-25541-both_sexes--irnt
H91 Other hearing loss,131260,icd_first_occurrence,,Health-related outcomes > First occurrences > Ear and mastoid process disorders,,7392,274193,0.00860780310947939,0.0438202122864479,,,icd_first_occurrence-131260-both_sexes--
Mean MD in uncinate fasciculus on FA skeleton (left),25149,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00868330870382872,-0.0253462555337109,,,continuous-25149-both_sexes--irnt
K08 Other disorders of teeth and supporting structures,131568,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2262,279323,0.00877789938260398,0.0720559565086424,,,icd_first_occurrence-131568-both_sexes--
Weighted-mean L3 in tract uncinate fasciculus (left),25648,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00887606533099927,-0.0262221958885786,,,continuous-25648-both_sexes--irnt
Weighted-mean MD in tract anterior thalamic radiation (left),25517,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.00889774581020053,-0.0197229021454606,,,continuous-25517-both_sexes--irnt
Weighted-mean ISOVF in tract acoustic radiation (right),25705,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0089322846856682,0.0308251640092288,,,continuous-25705-both_sexes--irnt
Mean L3 in anterior corona radiata on FA skeleton (left),25319,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.00904277192708192,-0.00717132577436455,,,continuous-25319-both_sexes--irnt
Bladder problem (not cancer),20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1669,279874,0.00907207523356357,0.0574703979075373,,,categorical-20002-both_sexes-1201-
Saturated fat,100006,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,43938,,0.00999539248640757,0.000970743875000528,,,continuous-100006-both_sexes--irnt
Mean L2 in anterior corona radiata on FA skeleton (right),25270,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0104385121033997,-0.01193336721659,,,continuous-25270-both_sexes--irnt
Basophill count,30160,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.0104586595478255,-0.00676824400152357,,,continuous-30160-both_sexes--
K65 Peritonitis,131652,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,1696,279889,0.0106554001388091,0.0705160121570434,,,icd_first_occurrence-131652-both_sexes--
M65.3 Endoscopic resection of prostate NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1654,126584,0.0106685201522442,0.0694917052698872,,,categorical-41200-both_sexes-M653-
Mean L2 in external capsule on FA skeleton (left),25281,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0111932150119615,-0.0142035919848095,,,continuous-25281-both_sexes--irnt
Cystatin C,30720,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,268538,,0.011381750303741,-0.00718819103995442,,,continuous-30720-both_sexes--irnt
90th percentile of BOLD effect (in group-defined mask) for faces-shapes contrast,25765,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.0116422995846323,0.0289535080972046,,,continuous-25765-both_sexes--irnt
"M79 Other soft tissue disorders, not elsewhere classified",131960,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,46413,235172,0.0125512048036219,0.0197261125897596,,,icd_first_occurrence-131960-both_sexes--
Weighted-mean L1 in tract uncinate fasciculus (right),25595,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0127142864439921,-0.0180955110933527,,,continuous-25595-both_sexes--irnt
Mean L1 in external capsule on FA skeleton (left),25233,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0129235833287155,-0.0265796682718481,,,continuous-25233-both_sexes--irnt
H04 Disorders of lachrymal system,131136,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,7969,273616,0.0131034267626732,0.0432772852285949,,,icd_first_occurrence-131136-both_sexes--
Neutrophill count,30140,continuous,,Biological samples > Assay results > Blood assays > Blood count,,273110,,0.0137470654863121,0.00335527618508778,,,continuous-30140-both_sexes--irnt
Z48.2 Skin of neck,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2767,278819,0.0137651619656445,0.0531351627244104,,,categorical-41210-both_sexes-Z482-
Mean FA in anterior corona radiata on FA skeleton (right),25078,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0141397957165861,0.00648540925829355,,,continuous-25078-both_sexes--irnt
Mean L3 in anterior corona radiata on FA skeleton (right),25318,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0141934542145651,-0.00623418427293181,,,continuous-25318-both_sexes--irnt
Weighted-mean L1 in tract anterior thalamic radiation (left),25571,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0142728337156597,-0.0251542962974913,,,continuous-25571-both_sexes--irnt
Mean MD in anterior limb of internal capsule on FA skeleton (left),25121,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0143178300805382,-0.0225335670613771,,,continuous-25121-both_sexes--irnt
Weighted-mean ICVF in tract uncinate fasciculus (right),25676,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0145481906217029,0.0135336429150314,,,continuous-25676-both_sexes--irnt
Mean L1 in external capsule on FA skeleton (right),25232,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0149525760696863,-0.0276146838301579,,,continuous-25232-both_sexes--irnt
Weighted-mean L2 in tract inferior longitudinal fasciculus (left),25610,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0152494256544412,-0.0114993468079781,,,continuous-25610-both_sexes--irnt
H18 Other disorders of cornea,131154,icd_first_occurrence,,Health-related outcomes > First occurrences > Eye and adnexa disorders,,1331,280254,0.0152997468191249,0.0698475761427618,,,icd_first_occurrence-131154-both_sexes--
Birth weight known,120,categorical,,UK Biobank Assessment Centre > Verbal interview > Early life factors,,158307,123236,0.0157889770980195,0.0159460794593117,,,categorical-120-both_sexes-1-
Weighted-mean L1 in tract uncinate fasciculus (left),25594,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.015945953538795,-0.0257106652415353,,,continuous-25594-both_sexes--irnt
Eye problems/disorders,6148,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Eyesight,,5117,95378,0.0160960813417651,0.01256432731327,,,categorical-6148-both_sexes-6-
Weighted-mean ICVF in tract uncinate fasciculus (left),25675,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0163533321403123,0.0207857827745033,,,continuous-25675-both_sexes--irnt
"Blood clot, DVT, bronchitis, emphysema, asthma, rhinitis, eczema, allergy diagnosed by doctor",6152,categorical,,UK Biobank Assessment Centre > Touchscreen > Health and medical history > Medical conditions,,32405,248594,0.0164043759656268,0.0170281478804088,,,categorical-6152-both_sexes-8-
N50 Other disorders of male genital organs,132092,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,6426,121812,0.0167966423222694,0.0390328891727936,,,icd_first_occurrence-132092-both_sexes--
Testosterone,30850,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,243015,,0.0169862970007336,-0.00381471100713878,,,continuous-30850-both_sexes--irnt
E08.1 Polypectomy of internal nose,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1450,280136,0.0170533391108818,0.0527811932654225,,,categorical-41200-both_sexes-E081-
Mean MD in external capsule on FA skeleton (right),25136,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0171504050662433,-0.0228876751559073,,,continuous-25136-both_sexes--irnt
Weighted-mean MD in tract inferior longitudinal fasciculus (left),25529,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0176564710250056,-0.00996809226184572,,,continuous-25529-both_sexes--irnt
W37.1 Primary total prosthetic replacement of hip joint using cement,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3288,278298,0.0183391000051674,0.0284686404347816,,,categorical-41200-both_sexes-W371-
Retinol,100018,continuous,,Online follow-up > Diet by 24-hour recall > Estimated nutrients yesterday,,42615,,0.019498315702583,-0.00817533596724862,,,continuous-100018-both_sexes--irnt
Mean L3 in cerebral peduncle on FA skeleton (right),25310,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0197041547012704,-0.00870400125091021,,,continuous-25310-both_sexes--irnt
M75 Shoulder lesions,131954,icd_first_occurrence,,Health-related outcomes > First occurrences > Musculoskeletal system and connective tissue disorders,,18392,263193,0.0204888747970927,0.00891472789889984,,,icd_first_occurrence-131954-both_sexes--
O03 Spontaneous abortion,132168,icd_first_occurrence,,"Health-related outcomes > First occurrences > Pregnancy, childbirth and the puerperium",,3174,150173,0.0209997695430739,0.0670107728604707,,,icd_first_occurrence-132168-both_sexes--
C79.2 Vitrectomy using pars plana approach,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1880,279706,0.0210198757813026,0.0668839789509754,,,categorical-41200-both_sexes-C792-
Mean ICVF in uncinate fasciculus on FA skeleton (right),25388,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0210455218195502,0.0114364824918178,,,continuous-25388-both_sexes--irnt
Iron deficiency anaemia,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,1521,280022,0.0211163145695952,0.0659763296725003,,,categorical-20002-both_sexes-1330-
Weighted-mean ICVF in tract inferior longitudinal fasciculus (left),25664,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0217727556247356,0.0154014537685096,,,continuous-25664-both_sexes--irnt
Mean FA in posterior corona radiata on FA skeleton (left),25083,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0222831636726479,0.00824220932201294,,,continuous-25083-both_sexes--irnt
I78 Diseases of capillaries,131392,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,1551,280034,0.0223446038841586,0.063866835515257,,,icd_first_occurrence-131392-both_sexes--
Weighted-mean L3 in tract anterior thalamic radiation (left),25625,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0224108568172685,-0.0132828965929268,,,continuous-25625-both_sexes--irnt
Rheumatoid factor,30820,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,23520,,0.0225378020538798,0.00180171329753835,,,continuous-30820-both_sexes--irnt
Mean L1 in anterior limb of internal capsule on FA skeleton (right),25216,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0231571156892095,-0.0245770305650689,,,continuous-25216-both_sexes--irnt
Median T2star in amygdala (right),25037,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Susceptibility weighted brain MRI,,14767,,0.0235753649732396,0.0258947837337071,,,continuous-25037-both_sexes--irnt
Asthma,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,32610,248933,0.0252412680091286,0.0137354478366163,,,categorical-20002-both_sexes-1111-
Mean L3 in external capsule on FA skeleton (left),25329,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0253990788538874,-0.0158596992175737,,,continuous-25329-both_sexes--irnt
Recent feelings of foreboding,20512,continuous,,Online follow-up > Mental health > Anxiety,,92903,,0.0265322388025316,-0.000583493747436846,,,continuous-20512-both_sexes--
Mean ISOVF in cerebral peduncle on FA skeleton (right),25454,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.026615418679245,-0.0120521438719353,,,continuous-25454-both_sexes--irnt
Mean L2 in middle cerebellar peduncle on FA skeleton,25248,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0268096892886431,-0.0181984854025147,,,continuous-25248-both_sexes--irnt
H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2353,279233,0.026948813231688,0.0623874955494824,,,categorical-41210-both_sexes-H259-
Mean OD in corticospinal tract on FA skeleton (left),25399,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0275742724315233,-0.000330102114277767,,,continuous-25399-both_sexes--irnt
Mean FA in corticospinal tract on FA skeleton (right),25062,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.027783754370294,0.00325425992108948,,,continuous-25062-both_sexes--irnt
I83 Varicose veins of lower extremities,131402,icd_first_occurrence,,Health-related outcomes > First occurrences > Circulatory system disorders,,12830,268755,0.0279840836992237,0.0327689424042341,,,icd_first_occurrence-131402-both_sexes--
Muscle/soft tissue problem,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2157,279386,0.0282981646078367,0.0630879184026724,,,categorical-20002-both_sexes-1297-
Mean L1 in uncinate fasciculus on FA skeleton (left),25245,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0293106861246739,-0.0256406447298741,,,continuous-25245-both_sexes--irnt
J47 Bronchiectasis,131498,icd_first_occurrence,,Health-related outcomes > First occurrences > Respiratory system disorders,,2311,279274,0.0299216703541849,0.0460369854019737,,,icd_first_occurrence-131498-both_sexes--
W20.1 Primary open reduction of fracture of long bone and extramedullary fixation using plate NEC,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2350,279236,0.0302454867880462,0.0328125559354318,,,categorical-41200-both_sexes-W201-
Mean ICVF in sagittal stratum on FA skeleton (left),25375,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0303652557083972,0.0183905649380305,,,continuous-25375-both_sexes--irnt
Ear/vestibular disorder,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2401,279142,0.0312151094012502,0.0473895167671542,,,categorical-20002-both_sexes-1415-
N19 Unspecified renal failure,132034,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1633,279952,0.0317904568085077,0.048589349329205,,,icd_first_occurrence-132034-both_sexes--
Weighted-mean ICVF in tract forceps major,25660,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0319702319840067,0.00463050267925356,,,continuous-25660-both_sexes--irnt
Glaucoma,20002,categorical,,UK Biobank Assessment Centre > Verbal interview > Medical conditions,,2899,278644,0.0325154160314088,0.051835085186672,,,categorical-20002-both_sexes-1277-
N45 Orchitis and epididymitis,132082,icd_first_occurrence,,Health-related outcomes > First occurrences > Genitourinary system disorders,,1528,126710,0.0326165581309653,0.0506261926397274,,,icd_first_occurrence-132082-both_sexes--
Weighted-mean L1 in tract inferior longitudinal fasciculus (left),25583,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.0331577611976825,-0.00769520483786582,,,continuous-25583-both_sexes--irnt
Weighted-mean ISOVF in tract superior thalamic radiation (left),25727,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0332139433470833,0.0244056897242683,,,continuous-25727-both_sexes--irnt
Prednisolone,20003,categorical,,UK Biobank Assessment Centre > Verbal interview > Medications,,1642,279901,0.0338959896400017,0.0507154107963766,,,categorical-20003-both_sexes-1140874930-
Mean ICVF in tapetum on FA skeleton (right),25390,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14490,,0.0341330061742819,0.0179947395215132,,,continuous-25390-both_sexes--irnt
K02 Dental caries,131556,icd_first_occurrence,,Health-related outcomes > First occurrences > Digestive system disorders,,2546,279039,0.0343060376610083,0.0255607528100158,,,icd_first_occurrence-131556-both_sexes--
H25.9 Unspecified diagnostic endoscopic examination of lower bowel using fibreoptic sigmoidoscope,41200,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,14364,267222,0.0344426910499082,0.00376223689889722,,,categorical-41200-both_sexes-H259-
Y53.9 Unspecified approach to organ under image control,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,3463,278123,0.0349960101713008,0.0334807011492568,,,categorical-41210-both_sexes-Y539-
Q55.3 Papanicolau smear NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1096,152252,0.035880567754347,0.0733749233395611,,,categorical-41210-both_sexes-Q553-
Y84.2 Sedation NEC,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,2406,279180,0.0362389279820122,0.0266272358517623,,,categorical-41210-both_sexes-Y842-
Mean L3 in superior longitudinal fasciculus on FA skeleton (right),25336,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0367570528254964,-0.0145771659297672,,,continuous-25336-both_sexes--irnt
Weighted-mean ICVF in tract inferior longitudinal fasciculus (right),25665,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14489,,0.0374252465441062,0.0185544469039219,,,continuous-25665-both_sexes--irnt
Weighted-mean L1 in tract inferior longitudinal fasciculus (right),25584,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.037550738941748,-0.0133964018996895,,,continuous-25584-both_sexes--irnt
V55.2 Two levels of spine,41210,categorical,,Health-related outcomes > Hospital inpatient > Summary Operations,,1863,279723,0.0381369373015473,0.0189844882614094,,,categorical-41210-both_sexes-V552-
90th percentile of BOLD effect (in group-defined mask) for faces activation,25763,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Task functional brain MRI,,14069,,0.0398251469688715,0.0247628486294883,,,continuous-25763-both_sexes--irnt
Weighted-mean MD in tract inferior longitudinal fasciculus (right),25530,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI weighted means,,14490,,0.040332208423727,-0.015008645004196,,,continuous-25530-both_sexes--irnt
Mean MO in superior cerebellar peduncle on FA skeleton (right),25164,continuous,,UK Biobank Assessment Centre > Imaging > Brain MRI > Diffusion brain MRI > dMRI skeleton,,14492,,0.0407472345953728,-0.00525388703070589,,,continuous-25164-both_sexes--irnt
Triglycerides,30870,continuous,,Biological samples > Assay results > Blood assays > Blood biochemistry,,268345,,0.041044595709679,-0.00644696230207259,,,continuous-30870-both_sexes--irnt
